排名,片名,票房收入,年份
1,《阿凡達》,$11億0000萬,2009
2,《復仇者聯盟：終局之戰》,$9億1045萬,2019
3,《侏羅紀世界》,$8億2700萬,2015
4,《玩命關頭7》,$8億1900萬,2015
5,《鐵達尼號》 ,$7億8900萬,1997
6,《變形金剛3》,$7億6200萬,2011
7,《捍衛戰士：獨行俠》,$7億2095萬,2022
8,《玩命關頭8》,$6億5083萬,2017
9,《復仇者聯盟：無限之戰》,$6億4177萬,2018
10,《鬼滅之刃劇場版 無限列車篇》,$6億3493萬,2020
